County,Precinct,Office,District,Party,Candidate,Votes
Bergen,Dumont 10 - Election Day,U.S House,5,,Ballots Cast,517
Bergen,Dumont 11 - Election Day,U.S House,5,,Ballots Cast,800
Bergen,Dumont Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,420
Bergen,Dumont Provisional - Provisional,U.S House,5,,Ballots Cast,74
Bergen,Emerson 1 - Election Day,U.S House,5,,Ballots Cast,777
Bergen,Emerson 2 - Election Day,U.S House,5,,Ballots Cast,615
Bergen,Emerson 3 - Election Day,U.S House,5,,Ballots Cast,492
Bergen,Emerson 4 - Election Day,U.S House,5,,Ballots Cast,760
Bergen,Emerson 5 - Election Day,U.S House,5,,Ballots Cast,581
Bergen,Emerson 6 - Election Day,U.S House,5,,Ballots Cast,473
Bergen,Emerson Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,292
Bergen,Emerson Provisional - Provisional,U.S House,5,,Ballots Cast,29
Bergen,Fair Lawn 1 - Election Day,U.S House,5,,Ballots Cast,685
Bergen,Fair Lawn 2 - Election Day,U.S House,5,,Ballots Cast,1000
Bergen,Fair Lawn 3 - Election Day,U.S House,5,,Ballots Cast,622
Bergen,Fair Lawn 4 - Election Day,U.S House,5,,Ballots Cast,684
Bergen,Fair Lawn 5 - Election Day,U.S House,5,,Ballots Cast,494
Bergen,Fair Lawn 6 - Election Day,U.S House,5,,Ballots Cast,657
Bergen,Fair Lawn 7 - Election Day,U.S House,5,,Ballots Cast,544
Bergen,Fair Lawn 8 - Election Day,U.S House,5,,Ballots Cast,671
Bergen,Fair Lawn 9 - Election Day,U.S House,5,,Ballots Cast,704
Bergen,Fair Lawn 10 - Election Day,U.S House,5,,Ballots Cast,723
Bergen,Fair Lawn 11 - Election Day,U.S House,5,,Ballots Cast,661
Bergen,Fair Lawn 12 - Election Day,U.S House,5,,Ballots Cast,553
Bergen,Fair Lawn 13 - Election Day,U.S House,5,,Ballots Cast,765
Bergen,Fair Lawn 14 - Election Day,U.S House,5,,Ballots Cast,571
Bergen,Fair Lawn 15 - Election Day,U.S House,5,,Ballots Cast,904
Bergen,Fair Lawn 16 - Election Day,U.S House,5,,Ballots Cast,786
Bergen,Fair Lawn 17 - Election Day,U.S House,5,,Ballots Cast,693
Bergen,Fair Lawn 18 - Election Day,U.S House,5,,Ballots Cast,544
Bergen,Fair Lawn 19 - Election Day,U.S House,5,,Ballots Cast,604
Bergen,Fair Lawn 20 - Election Day,U.S House,5,,Ballots Cast,618
Bergen,Fair Lawn 21 - Election Day,U.S House,5,,Ballots Cast,851
Bergen,Fair Lawn 22 - Election Day,U.S House,5,,Ballots Cast,592
Bergen,Fair Lawn 23 - Election Day,U.S House,5,,Ballots Cast,708
Bergen,Fair Lawn Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,1106
Bergen,Fair Lawn Provisional - Provisiona,U.S House,5,,Ballots Cast,135
Bergen,Franklin Lakes 1 - Election Day,U.S House,5,,Ballots Cast,716
Bergen,Franklin Lakes 2 - Election Day,U.S House,5,,Ballots Cast,733
Bergen,Franklin Lakes 3 - Election Day,U.S House,5,,Ballots Cast,732
Bergen,Franklin Lakes 4 - Election Day,U.S House,5,,Ballots Cast,1421
Bergen,Franklin Lakes 5 - Election Day,U.S House,5,,Ballots Cast,992
Bergen,Franklin Lakes 6 - Election Day,U.S House,5,,Ballots Cast,869
Bergen,Franklin Lakes Mail-In Ballot - Mai,U.S House,5,,Ballots Cast,629
Bergen,Franklin Lakes Provisional - Provis,U.S House,5,,Ballots Cast,39
Bergen,Glen Rock 1 - Election Day,U.S House,5,,Ballots Cast,760
Bergen,Glen Rock 2 - Election Day,U.S House,5,,Ballots Cast,834
Bergen,Glen Rock 3 - Election Day,U.S House,5,,Ballots Cast,791
Bergen,Glen Rock 4 - Election Day,U.S House,5,,Ballots Cast,686
Bergen,Glen Rock 5 - Election Day,U.S House,5,,Ballots Cast,891
Bergen,Glen Rock 6 - Election Day,U.S House,5,,Ballots Cast,649
Bergen,Glen Rock 7 - Election Day,U.S House,5,,Ballots Cast,806
Bergen,Glen Rock 8 - Election Day,U.S House,5,,Ballots Cast,565
Bergen,Glen Rock Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,760
Bergen,Glen Rock Provisional - Provisiona,U.S House,5,,Ballots Cast,45
Bergen,Hackensack W1 D1 - Election Day,U.S House,5,,Ballots Cast,530
Bergen,Hackensack W1 D2 - Election Day,U.S House,5,,Ballots Cast,531
Bergen,Hackensack W1 D3 - Election Day,U.S House,5,,Ballots Cast,563
Bergen,Hackensack W1 D4 - Election Day,U.S House,5,,Ballots Cast,395
Bergen,Hackensack W2 D1 - Election Day,U.S House,5,,Ballots Cast,332
Bergen,Hackensack W2 D2 - Election Day,U.S House,5,,Ballots Cast,754
Bergen,Hackensack W2 D3 - Election Day,U.S House,5,,Ballots Cast,726
Bergen,Hackensack W2 D4 - Election Day,U.S House,5,,Ballots Cast,474
Bergen,Hackensack W2 D5 - Election Day,U.S House,5,,Ballots Cast,503
Bergen,Hackensack W3 D1 - Election Day,U.S House,5,,Ballots Cast,361
Bergen,Hackensack W3 D2 - Election Day,U.S House,5,,Ballots Cast,461
Bergen,Hackensack W3 D3 - Election Day,U.S House,5,,Ballots Cast,414
Bergen,Hackensack W3 D4 - Election Day,U.S House,5,,Ballots Cast,676
Bergen,Hackensack W3 D5 - Election Day,U.S House,5,,Ballots Cast,561
Bergen,Hackensack W4 D1 - Election Day,U.S House,5,,Ballots Cast,608
Bergen,Hackensack W4 D2 - Election Day,U.S House,5,,Ballots Cast,1069
Bergen,Hackensack W4 D3 - Election Day,U.S House,5,,Ballots Cast,854
Bergen,Hackensack W4 D4 - Election Day,U.S House,5,,Ballots Cast,736
Bergen,Hackensack W4 D5 - Election Day,U.S House,5,,Ballots Cast,472
Bergen,Hackensack W5 D1 - Election Day,U.S House,5,,Ballots Cast,606
Bergen,Hackensack W5 D2 - Election Day,U.S House,5,,Ballots Cast,496
Bergen,Hackensack W5 D3 - Election Day,U.S House,5,,Ballots Cast,604
Bergen,Hackensack W5 D4 - Election Day,U.S House,5,,Ballots Cast,569
Bergen,Hackensack W5 D5 - Election Day,U.S House,5,,Ballots Cast,501
Bergen,Hackensack W5 D6 - Election Day,U.S House,5,,Ballots Cast,679
Bergen,Hackensack Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,1163
Bergen,Hackensack Provisional - Provisio,U.S House,5,,Ballots Cast,275
Bergen,Harrington Park 1 - Election Day,U.S House,5,,Ballots Cast,731
Bergen,Harrington Park 2 - Election Day,U.S House,5,,Ballots Cast,868
Bergen,Harrington Park 3 - Election Day,U.S House,5,,Ballots Cast,832
Bergen,Harrington Park Mail-In Ballot - Ma,U.S House,5,,Ballots Cast,219
Bergen,Harrington Park Provisional - Prov,U.S House,5,,Ballots Cast,23
Bergen,Haworth 1 - Election Day,U.S House,5,,Ballots Cast,868
Bergen,Haworth 2 - Election Day,U.S House,5,,Ballots Cast,843
Bergen,Haworth Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,239
Bergen,Haworth Provisional - Provisional,U.S House,5,,Ballots Cast,13
Bergen,Hillsdale 1 - Election Day,U.S House,5,,Ballots Cast,778
Bergen,Hillsdale 2 - Election Day,U.S House,5,,Ballots Cast,670
Bergen,Hillsdale 3 - Election Day,U.S House,5,,Ballots Cast,970
Bergen,Hillsdale 4 - Election Day,U.S House,5,,Ballots Cast,988
Bergen,Hillsdale 5 - Election Day,U.S House,5,,Ballots Cast,971
Bergen,Hillsdale 6 - Election Day,U.S House,5,,Ballots Cast,1043
Bergen,Hillsdale Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,478
Bergen,Hillsdale Provisional - Provisional,U.S House,5,,Ballots Cast,37
Bergen,Ho-Ho-Kus 1 - Election Day,U.S House,5,,Ballots Cast,785
Bergen,Ho-Ho-Kus 2 - Election Day,U.S House,5,,Ballots Cast,784
Bergen,Ho-Ho-Kus 3 - Election Day,U.S House,5,,Ballots Cast,668
Bergen,Ho-Ho-Kus Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,210
Bergen,Ho-Ho-Kus Provisional - Provision,U.S House,5,,Ballots Cast,15
Bergen,Lodi 1 - Election Day,U.S House,5,,Ballots Cast,888
Bergen,Lodi 2 - Election Day,U.S House,5,,Ballots Cast,914
Bergen,Lodi 3 - Election Day,U.S House,5,,Ballots Cast,580
Bergen,Lodi 4 - Election Day,U.S House,5,,Ballots Cast,614
Bergen,Lodi 5 - Election Day,U.S House,5,,Ballots Cast,661
Bergen,Lodi 6 - Election Day,U.S House,5,,Ballots Cast,575
Bergen,Lodi 7 - Election Day,U.S House,5,,Ballots Cast,402
Bergen,Lodi 8 - Election Day,U.S House,5,,Ballots Cast,795
Bergen,Lodi 9 - Election Day,U.S House,5,,Ballots Cast,651
Bergen,Lodi 10 - Election Day,U.S House,5,,Ballots Cast,721
Bergen,Lodi 11 - Election Day,U.S House,5,,Ballots Cast,778
Bergen,Lodi 12 - Election Day,U.S House,5,,Ballots Cast,701
Bergen,Lodi Mail-In Ballot - Mail-In Ballot,U.S House,5,,Ballots Cast,555
Bergen,Lodi Provisional - Provisional,U.S House,5,,Ballots Cast,168
Bergen,Mahwah 1 - Election Day,U.S House,5,,Ballots Cast,1149
Bergen,Mahwah 2 - Election Day,U.S House,5,,Ballots Cast,918
Bergen,Mahwah 3 - Election Day,U.S House,5,,Ballots Cast,925
Bergen,Mahwah 4 - Election Day,U.S House,5,,Ballots Cast,800
Bergen,Mahwah 5 - Election Day,U.S House,5,,Ballots Cast,690
Bergen,Mahwah 6 - Election Day,U.S House,5,,Ballots Cast,854
Bergen,Mahwah 7 - Election Day,U.S House,5,,Ballots Cast,1107
Bergen,Mahwah 8 - Election Day,U.S House,5,,Ballots Cast,967
Bergen,Mahwah 9 - Election Day,U.S House,5,,Ballots Cast,326
Bergen,Mahwah 10 - Election Day,U.S House,5,,Ballots Cast,1067
Bergen,Mahwah 11 - Election Day,U.S House,5,,Ballots Cast,1172
Bergen,Mahwah 12 - Election Day,U.S House,5,,Ballots Cast,537
Bergen,Mahwah 13 - Election Day,U.S House,5,,Ballots Cast,786
Bergen,Mahwah 14 - Election Day,U.S House,5,,Ballots Cast,757
Bergen,Mahwah Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,962
Bergen,Mahwah Provisional - Provisional,U.S House,5,,Ballots Cast,91
Bergen,Maywood 1 - Election Day,U.S House,5,,Ballots Cast,632
Bergen,Maywood 2 - Election Day,U.S House,5,,Ballots Cast,640
Bergen,Maywood 3 - Election Day,U.S House,5,,Ballots Cast,664
Bergen,Maywood 4 - Election Day,U.S House,5,,Ballots Cast,649
Bergen,Maywood 5 - Election Day,U.S House,5,,Ballots Cast,614
Bergen,Maywood 6 - Election Day,U.S House,5,,Ballots Cast,637
Bergen,Maywood 7 - Election Day,U.S House,5,,Ballots Cast,471
Bergen,Maywood Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,310
Bergen,Maywood Provisional - Provisiona,U.S House,5,,Ballots Cast,43
Bergen,Midland Park 1 - Election Day,U.S House,5,,Ballots Cast,872
Bergen,Midland Park 2 - Election Day,U.S House,5,,Ballots Cast,555
Bergen,Midland Park 3 - Election Day,U.S House,5,,Ballots Cast,869
Bergen,Midland Park 4 - Election Day,U.S House,5,,Ballots Cast,657
Bergen,Midland Park 5 - Election Day,U.S House,5,,Ballots Cast,830
Bergen,Midland Park Mail-In Ballot - Mail-,U.S House,5,,Ballots Cast,281
Bergen,Midland Park Provisional - Provisio,U.S House,5,,Ballots Cast,36
Bergen,Montvale 1 - Election Day,U.S House,5,,Ballots Cast,537
Bergen,Montvale 2 - Election Day,U.S House,5,,Ballots Cast,822
Bergen,Montvale 3 - Election Day,U.S House,5,,Ballots Cast,1360
Bergen,Montvale 4 - Election Day,U.S House,5,,Ballots Cast,1271
Bergen,Montvale Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,385
Bergen,Montvale Provisional - Provisional,U.S House,5,,Ballots Cast,27
Bergen,New Milford 1 - Election Day,U.S House,5,,Ballots Cast,924
Bergen,New Milford 2 - Election Day,U.S House,5,,Ballots Cast,862
Bergen,New Milford 3 - Election Day,U.S House,5,,Ballots Cast,963
Bergen,New Milford 4 - Election Day,U.S House,5,,Ballots Cast,997
Bergen,New Milford 5 - Election Day,U.S House,5,,Ballots Cast,766
Bergen,New Milford 6 - Election Day,U.S House,5,,Ballots Cast,629
Bergen,New Milford 7 - Election Day,U.S House,5,,Ballots Cast,524
Bergen,New Milford 8 - Election Day,U.S House,5,,Ballots Cast,1003
Bergen,New Milford 9 - Election Day,U.S House,5,,Ballots Cast,652
Bergen,New Milford Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,414
Bergen,New Milford Provisional - Provision,U.S House,5,,Ballots Cast,78
Bergen,Northvale 1 - Election Day,U.S House,5,,Ballots Cast,707
Bergen,Northvale 2 - Election Day,U.S House,5,,Ballots Cast,573
Bergen,Northvale 3 - Election Day,U.S House,5,,Ballots Cast,825
Bergen,Northvale Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,131
Bergen,Northvale Provisional - Provisiona,U.S House,5,,Ballots Cast,14
Bergen,Norwood 1 - Election Day,U.S House,5,,Ballots Cast,1278
Bergen,Norwood 2 - Election Day,U.S House,5,,Ballots Cast,1274
Bergen,Norwood Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,234
Bergen,Norwood Provisional - Provisional,U.S House,5,,Ballots Cast,15
Bergen,Oakland 1 - Election Day,U.S House,5,,Ballots Cast,715
Bergen,Oakland 2 - Election Day,U.S House,5,,Ballots Cast,685
Bergen,Oakland 3 - Election Day,U.S House,5,,Ballots Cast,534
Bergen,Oakland 4 - Election Day,U.S House,5,,Ballots Cast,712
Bergen,Oakland 5 - Election Day,U.S House,5,,Ballots Cast,763
Bergen,Oakland 6 - Election Day,U.S House,5,,Ballots Cast,951
Bergen,Oakland 7 - Election Day,U.S House,5,,Ballots Cast,942
Bergen,Oakland 8 - Election Day,U.S House,5,,Ballots Cast,1174
Bergen,Oakland Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,510
Bergen,Oakland Provisional - Provisional,U.S House,5,,Ballots Cast,27
Bergen,Old Tappan 1 - Election Day,U.S House,5,,Ballots Cast,836
Bergen,Old Tappan 2 - Election Day,U.S House,5,,Ballots Cast,967
Bergen,Old Tappan 3 - Election Day,U.S House,5,,Ballots Cast,992
Bergen,Old Tappan Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,330
Bergen,Old Tappan Provisional - Provision,U.S House,5,,Ballots Cast,25
Bergen,Oradell 1 - Election Day,U.S House,5,,Ballots Cast,725
Bergen,Oradell 2 - Election Day,U.S House,5,,Ballots Cast,638
Bergen,Oradell 3 - Election Day,U.S House,5,,Ballots Cast,674
Bergen,Oradell 4 - Election Day,U.S House,5,,Ballots Cast,671
Bergen,Oradell 5 - Election Day,U.S House,5,,Ballots Cast,788
Bergen,Oradell 6 - Election Day,U.S House,5,,Ballots Cast,800
Bergen,Oradell Mail-In Ballot - Mail-In Ball,U.S House,5,,Ballots Cast,471
Bergen,Oradell Provisional - Provisional,U.S House,5,,Ballots Cast,29
Bergen,Paramus 1 - Election Day,U.S House,5,,Ballots Cast,812
Bergen,Paramus 2 - Election Day,U.S House,5,,Ballots Cast,678
Bergen,Paramus 3 - Election Day,U.S House,5,,Ballots Cast,726
Bergen,Paramus 4 - Election Day,U.S House,5,,Ballots Cast,544
Bergen,Paramus 5 - Election Day,U.S House,5,,Ballots Cast,531
Bergen,Paramus 6 - Election Day,U.S House,5,,Ballots Cast,603
Bergen,Paramus 7 - Election Day,U.S House,5,,Ballots Cast,733
Bergen,Paramus 8 - Election Day,U.S House,5,,Ballots Cast,541
Bergen,Paramus 9 - Election Day,U.S House,5,,Ballots Cast,527
Bergen,Paramus 10 - Election Day,U.S House,5,,Ballots Cast,539
Bergen,Paramus 11 - Election Day,U.S House,5,,Ballots Cast,497
Bergen,Paramus 12 - Election Day,U.S House,5,,Ballots Cast,848
Bergen,Paramus 13 - Election Day,U.S House,5,,Ballots Cast,427
Bergen,Paramus 14 - Election Day,U.S House,5,,Ballots Cast,651
Bergen,Paramus 15 - Election Day,U.S House,5,,Ballots Cast,901
Bergen,Paramus 16 - Election Day,U.S House,5,,Ballots Cast,525
Bergen,Paramus 17 - Election Day,U.S House,5,,Ballots Cast,556
Bergen,Paramus 18 - Election Day,U.S House,5,,Ballots Cast,419
Bergen,Paramus 19 - Election Day,U.S House,5,,Ballots Cast,523
Bergen,Paramus 20 - Election Day,U.S House,5,,Ballots Cast,577
Bergen,Paramus Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,1180
Bergen,Paramus Provisional - Provisional,U.S House,5,,Ballots Cast,96
Bergen,Park Ridge 1 - Election Day,U.S House,5,,Ballots Cast,896
Bergen,Park Ridge 2 - Election Day,U.S House,5,,Ballots Cast,649
Bergen,Park Ridge 3 - Election Day,U.S House,5,,Ballots Cast,727
Bergen,Park Ridge 4 - Election Day,U.S House,5,,Ballots Cast,682
Bergen,Park Ridge 5 - Election Day,U.S House,5,,Ballots Cast,778
Bergen,Park Ridge 6 - Election Day,U.S House,5,,Ballots Cast,870
Bergen,Park Ridge Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,351
Bergen,Park Ridge Provisional - Provision,U.S House,5,,Ballots Cast,24
Bergen,Ramsey 1 - Election Day,U.S House,5,,Ballots Cast,877
Bergen,Ramsey 2 - Election Day,U.S House,5,,Ballots Cast,1121
Bergen,Ramsey 3 - Election Day,U.S House,5,,Ballots Cast,1069
Bergen,Ramsey 4 - Election Day,U.S House,5,,Ballots Cast,552
Bergen,Ramsey 5 - Election Day,U.S House,5,,Ballots Cast,1110
Bergen,Ramsey 6 - Election Day,U.S House,5,,Ballots Cast,1293
Bergen,Ramsey 7 - Election Day,U.S House,5,,Ballots Cast,925
Bergen,Ramsey 8 - Election Day,U.S House,5,,Ballots Cast,721
Bergen,Ramsey Mail-In Ballot - Mail-In Ba,U.S House,5,,Ballots Cast,690
Bergen,Ramsey Provisional - Provisional,U.S House,5,,Ballots Cast,68
Bergen,Ridgewood 1 - Election Day,U.S House,5,,Ballots Cast,578
Bergen,Ridgewood 2 - Election Day,U.S House,5,,Ballots Cast,715
Bergen,Ridgewood 3 - Election Day,U.S House,5,,Ballots Cast,695
Bergen,Ridgewood 4 - Election Day,U.S House,5,,Ballots Cast,539
Bergen,Ridgewood 5 - Election Day,U.S House,5,,Ballots Cast,682
Bergen,Ridgewood 6 - Election Day,U.S House,5,,Ballots Cast,651
Bergen,Ridgewood 7 - Election Day,U.S House,5,,Ballots Cast,717
Bergen,Ridgewood 8 - Election Day,U.S House,5,,Ballots Cast,529
Bergen,Ridgewood 9 - Election Day,U.S House,5,,Ballots Cast,516
Bergen,Ridgewood 10 - Election Day,U.S House,5,,Ballots Cast,514
Bergen,Ridgewood 11 - Election Day,U.S House,5,,Ballots Cast,722
Bergen,Ridgewood 12 - Election Day,U.S House,5,,Ballots Cast,631
Bergen,Ridgewood 13 - Election Day,U.S House,5,,Ballots Cast,669
Bergen,Ridgewood 14 - Election Day,U.S House,5,,Ballots Cast,878
Bergen,Ridgewood 15 - Election Day,U.S House,5,,Ballots Cast,611
Bergen,Ridgewood 16 - Election Day,U.S House,5,,Ballots Cast,511
Bergen,Ridgewood 17 - Election Day,U.S House,5,,Ballots Cast,583
Bergen,Ridgewood 18 - Election Day,U.S House,5,,Ballots Cast,638
Bergen,Ridgewood 19 - Election Day,U.S House,5,,Ballots Cast,592
Bergen,Ridgewood Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,1252
Bergen,Ridgewood Provisional - Provision,U.S House,5,,Ballots Cast,85
Bergen,River Edge 1 - Election Day,U.S House,5,,Ballots Cast,843
Bergen,River Edge 2 - Election Day,U.S House,5,,Ballots Cast,704
Bergen,River Edge 3 - Election Day,U.S House,5,,Ballots Cast,606
Bergen,River Edge 4 - Election Day,U.S House,5,,Ballots Cast,706
Bergen,River Edge 5 - Election Day,U.S House,5,,Ballots Cast,533
Bergen,River Edge 6 - Election Day,U.S House,5,,Ballots Cast,641
Bergen,River Edge 7 - Election Day,U.S House,5,,Ballots Cast,648
Bergen,River Edge 8 - Election Day,U.S House,5,,Ballots Cast,494
Bergen,River Edge Mail-In Ballot - Mail-In,U.S House,5,,Ballots Cast,483
Bergen,River Edge Provisional - Provision,U.S House,5,,Ballots Cast,32
Bergen,River Vale 1 - Election Day,U.S House,5,,Ballots Cast,1089
Bergen,River Vale 2 - Election Day,U.S House,5,,Ballots Cast,1472
Bergen,River Vale 3 - Election Day,U.S House,5,,Ballots Cast,1070
Bergen,River Vale 4 - Election Day,U.S House,5,,Ballots Cast,826
Bergen,River Vale 5 - Election Day,U.S House,5,,Ballots Cast,818
Bergen,River Vale Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,465
Bergen,River Vale Provisional - Provisiona,U.S House,5,,Ballots Cast,41
Bergen,Rochelle Park 1 - Election Day,U.S House,5,,Ballots Cast,707
Bergen,Rochelle Park 2 - Election Day,U.S House,5,,Ballots Cast,643
Bergen,Rochelle Park 3 - Election Day,U.S House,5,,Ballots Cast,619
Bergen,Rochelle Park 4 - Election Day,U.S House,5,,Ballots Cast,674
Bergen,Rochelle Park Mail-In Ballot - Mail,U.S House,5,,Ballots Cast,190
Bergen,Rochelle Park Provisional - Provis,U.S House,5,,Ballots Cast,19
Bergen,Rockleigh 1 - Election Day,U.S House,5,,Ballots Cast,121
Bergen,Rockleigh Mail-In Ballot - Mail-In B,U.S House,5,,Ballots Cast,46
Bergen,Rockleigh Provisional - Provisiona,U.S House,5,,Ballots Cast,0
Bergen,Saddle River 1 - Election Day,U.S House,5,,Ballots Cast,750
Bergen,Saddle River 2 - Election Day,U.S House,5,,Ballots Cast,947
Bergen,Saddle River Mail-In Ballot - Mail-I,U.S House,5,,Ballots Cast,243
Bergen,Saddle River Provisional - Provisio,U.S House,5,,Ballots Cast,25
Bergen,Teaneck 1 - Election Day,U.S House,5,,Ballots Cast,722
Bergen,Teaneck 2 - Election Day,U.S House,5,,Ballots Cast,893
Bergen,Teaneck 3 - Election Day,U.S House,5,,Ballots Cast,942
Bergen,Teaneck 4 - Election Day,U.S House,5,,Ballots Cast,812
Bergen,Teaneck 5 - Election Day,U.S House,5,,Ballots Cast,600
Bergen,Teaneck 6 - Election Day,U.S House,5,,Ballots Cast,759
Bergen,Teaneck 7 - Election Day,U.S House,5,,Ballots Cast,742
Bergen,Teaneck 8 - Election Day,U.S House,5,,Ballots Cast,978
Bergen,Teaneck 9 - Election Day,U.S House,5,,Ballots Cast,871
Bergen,Teaneck 10 - Election Day,U.S House,5,,Ballots Cast,928
Bergen,Teaneck 11 - Election Day,U.S House,5,,Ballots Cast,791
Bergen,Teaneck 12 - Election Day,U.S House,5,,Ballots Cast,946
Bergen,Teaneck 13 - Election Day,U.S House,5,,Ballots Cast,798
Bergen,Teaneck 14 - Election Day,U.S House,5,,Ballots Cast,1010
Bergen,Teaneck 15 - Election Day,U.S House,5,,Ballots Cast,743
Bergen,Teaneck 16 - Election Day,U.S House,5,,Ballots Cast,554
